"","Time","Daily_lag","Week_lag","hourly_load_Predicted_LR_Daily_lag","hourly_load_Predicted_svm_Daily_lag","hourly_load_Predicted_ANN_Daily_lag","hourly_load_Predicted_LR_Weekly_lag","hourly_load_Predicted_svm_Weekly_lag","hourly_load_Predicted_ANN_Weekly_lag"
"11000",2019-06-01 00:00:00,3.320375,0.947108333333333,2.89623218543867,3.05051110972413,3.41646973578038,0.951967773384004,0.925392439243818,3.05887235598695
"21000",2019-06-01 01:00:00,2.95224,1.9504,2.59551442242281,2.80332437449919,3.40958787063659,1.68904272719936,1.72238980973596,3.68028825083973
"31000",2019-06-01 02:00:00,2.928605,1.69819166666667,2.57620774327282,2.7834801599875,3.40906043068434,1.50375618309685,1.46209969181274,3.61927530133516
"41000",2019-06-01 03:00:00,3.19356666666667,1.375125,2.79264649450526,2.9778271483628,3.41435735723818,1.26641308903552,1.14254118038752,3.47481737340086
"51000",2019-06-01 04:00:00,2.16221333333333,1.57631666666667,1.95016678657489,2.0578971588418,3.3829363197572,1.41421989670996,1.33186746555243,3.57545189368693
"61000",2019-06-01 05:00:00,2.25659,1.39414333333333,2.02726008137406,2.14644812988546,3.38745393402917,1.28038503520934,1.15797546018718,3.48614316552653
"71000",2019-06-01 06:00:00,2.42379833333333,1.34422333333333,2.16384724629348,2.30045370430758,3.39432752047349,1.24371097230527,1.11883115978694,3.45547724743103
"8760",2019-06-01 07:00:00,2.58396833333333,1.33254333333333,2.29468502075733,2.45509838204433,3.39983456323277,1.23513018194631,1.11032193117979,3.44785175197271
"9100",2019-06-01 08:00:00,2.430215,0.994128333333333,2.16908881703795,2.30647751077366,3.39456660800668,0.986511331832509,0.946233886397698,3.12512456718006
"10100",2019-06-01 09:00:00,1.55685,0.959148333333333,1.45566474951831,1.33774345583011,3.33241742913604,0.960813040158143,0.930998978361269,3.07649897681819
"11100",2019-06-01 10:00:00,1.19625666666667,1.195495,1.16110753393589,1.04908309829028,3.25146915302496,1.13444670443099,1.02874850085226,3.34362257980824
"12100",2019-06-01 11:00:00,0.708615,0.857493333333333,0.762768579059759,0.743164771022855,2.80161514327432,0.886131512423503,0.875522844358508,2.91170092375104
"13100",2019-06-01 12:00:00,0.875945,0.845195,0.89945512960628,0.891874661563043,3.05177361661703,0.87709645933292,0.867347759103652,2.88910895276001
"14100",2019-06-01 13:00:00,0.95134,0.853471666666667,0.961042905130424,0.938938601378493,3.12008685736297,0.883176968026217,0.87288845558038,2.90438108624189
"15100",2019-06-01 14:00:00,0.995988333333333,1.36373,0.997514707383365,0.961949759134016,3.15263937673748,1.25804167583857,1.13359801864091,3.46782363208602
"16100",2019-06-01 15:00:00,0.745086666666667,0.877668333333333,0.792561122592593,0.780488088738245,2.87274557123965,0.900953211523856,0.888181806324305,2.94744707564546
"17100",2019-06-01 16:00:00,0.853796666666667,0.87815,0.881362861132678,0.87573940089785,3.02776028131412,0.901307071171935,0.888472940012169,2.94828097834184
"18100",2019-06-01 17:00:00,0.761921666666667,1.01427166666667,0.806313098200378,0.796903516355744,2.90173200180185,1.00130976680375,0.954453202465966,3.15147365167471
"19100",2019-06-01 18:00:00,1.01135166666667,0.926251666666667,1.01006452533729,0.969225557727983,3.16272680865085,0.936645283293809,0.915147814271584,3.02719907904154
"20100",2019-06-01 19:00:00,1.42655666666667,1.10011833333333,1.34923227301952,1.202592463398,3.31134310684043,1.06437759639986,0.987764258738037,3.25170766525355
"21100",2019-06-01 20:00:00,1.98605833333333,1.24471166666667,1.80627137444602,1.8742865331458,3.37287883768701,1.17060405878319,1.05433677999858,3.38441866076528
"22100",2019-06-01 21:00:00,1.55419333333333,0.986623333333333,1.4534946030854,1.3346762927036,3.33204770984433,0.980997733232849,0.943080349981527,3.11500568251255
"23100",2019-06-01 22:00:00,0.868453333333333,0.745845,0.893335425581234,0.88654112466788,3.04387890731386,0.8041083153121,0.787907245648128,2.68238614128321
"24100",2019-06-01 23:00:00,1.44891666666667,0.762366666666667,1.36749744525534,1.22336084783094,3.31543838650953,0.81624606856958,0.802763443713456,2.71991240264055
